Designator,Mid X,Mid Y,Rotation,Layer
C1,93.09,5.967349,270.0,top
C10,87.9725,27.305,0.0,top
C11,127.38,21.1125,90.0,top
C12,60.7425,59.69,180.0,top
C13,101.453605,59.055,180.0,top
C14,105.7525,50.165,0.0,top
C15,100.202,51.5925,90.0,top
C2,37.2475,30.48,180.0,top
C3,22.6425,22.225,180.0,top
C4,35.3425,22.225,180.0,top
C5,49.9475,30.48,180.0,top
C6,60.7425,22.225,180.0,top
C7,62.6475,30.48,180.0,top
C8,48.0425,22.225,180.0,top
C9,72.7325,43.18,0.0,top
D1,109.346,5.08,0.0,top
R1,108.33,11.43,0.0,top
R2,42.29,26.416,0.0,top
R3,54.99,26.416,0.0,top
R4,67.69,26.416,0.0,top
U1,22.53,8.255,270.0,top
U10,35.23,40.005,270.0,top
U11,60.63,40.005,270.0,top
U12,47.93,40.005,270.0,top
U13,75.945,36.12,0.0,top
U14,94.995,36.12,0.0,top
U15,114.045,39.57,0.0,top
U16,80.395,55.88,90.0,top
U2,35.23,8.255,270.0,top
U3,47.93,8.255,270.0,top
U4,60.63,8.255,270.0,top
U5,75.945,17.07,0.0,top
U6,113.42,21.58,90.0,top
U7,94.995,17.145,0.0,top
U8,122.3,8.89,0.0,top
U9,22.53,40.005,270.0,top
